nombre_cancion,Artista,Popularidad,Fecha_de_lanzamiento,Genero,Subgenero,Bailabilidad,Energia,Modalidad,Habladas,Positividad,Tempo,Duracion_Sg
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,12/07/2019,pop,dance pop,56%,81%,1,52%,50%,129,247
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,27/06/2019,pop,dance pop,73%,82%,0,5%,68%,124,218
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,25/10/2019,pop,dance pop,85%,77%,1,47%,59%,124,200
Higher Love,Kygo,87,28/06/2019,pop,dance pop,69%,68%,1,32%,40%,103,228
Unlove You,Armin van Buuren,62,18/10/2019,pop,dance pop,68%,93%,0,60%,66%,116,150
bad guy (with Justin Bieber),Billie Eilish,83,11/07/2019,pop,dance pop,67%,45%,1,30%,68%,135,194
Freaking Me Out - Keanu Silva Remix,Ava Max,55,1/11/2019,pop,dance pop,76%,93%,0,61%,29%,122,177
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,24/05/2019,pop,dance pop,62%,86%,1,64%,44%,121,218
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,25/10/2019,pop,dance pop,79%,89%,0,17%,41%,121,144
Gone - The Wild Remix,Charli XCX,57,9/08/2019,pop,dance pop,64%,84%,1,42%,59%,124,193
American Boy - Brooks Remix,Estelle,56,14/06/2019,pop,dance pop,61%,76%,0,11%,53%,128,200
Million Pieces - M-22 Remix,Bastille,53,27/09/2019,pop,dance pop,64%,99%,0,59%,48%,123,166
joy. (R3HAB Remix),for KING & COUNTRY,56,25/01/2019,pop,dance pop,75%,81%,0,57%,48%,120,171
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,12/11/2019,pop,dance pop,54%,96%,0,34%,12%,127,266
Old Town Road - Diplo Remix,Lil Nas X,74,29/04/2019,pop,dance pop,77%,77%,1,58%,30%,140,204
Lovers + Strangers - GATTÜSO Remix,Starley,46,15/11/2019,pop,dance pop,65%,82%,0,47%,39%,125,203
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,19/10/2018,pop,dance pop,59%,70%,0,37%,23%,125,190
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,12/12/2019,pop,dance pop,36%,79%,0,17%,17%,80,237
What Am I - SONDR Remix,Why Don't We,52,1/11/2019,pop,dance pop,54%,84%,0,42%,51%,11,180
Cool Kids,Olympis,67,1/11/2019,pop,dance pop,74%,50%,1,51%,12%,1,139
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,9/08/2019,pop,dance pop,75%,84%,0,37%,46%,124,279
All Star - Breathe Carolina Remix,Smash Mouth,60,23/08/2019,pop,dance pop,75%,90%,0,39%,75%,115,217
Trampoline - Dave Audé Remix,SHAED,45,27/12/2019,pop,dance pop,61%,96%,0,10%,50%,125,230
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,11/07/2019,pop,dance pop,61%,100%,0,49%,66%,124,188
With You - Dexter Remix,Kaskade,51,12/09/2019,pop,dance pop,68%,79%,0,13%,47%,126,196
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,15/11/2019,pop,dance pop,71%,80%,0,30%,29%,124,210
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,28/09/2018,pop,dance pop,69%,86%,1,94%,45%,121,187
Talk - Disclosure VIP,Khalid,60,27/03/2019,pop,dance pop,78%,87%,0,20%,57%,128,273
Spicy - Majestic Remix,Herve Pagez,48,11/10/2019,pop,dance pop,81%,84%,1,76%,96%,121,255
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,4/10/2019,pop,dance pop,78%,78%,1,39%,46%,124,216
Treehouse - R3HAB Remix,James Arthur,56,13/09/2019,pop,dance pop,37%,78%,1,15%,29%,88,192
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,9/02/2018,pop,dance pop,61%,83%,0,79%,60%,117,238
Call You Mine,The Chainsmokers,39,31/05/2019,pop,dance pop,59%,70%,1,29%,50%,104,217
Post Malone (feat. RANI),Sam Feldt,83,24/05/2019,pop,dance pop,59%,64%,1,12%,65%,107,174
Here With Me,Marshmello,83,8/03/2019,pop,dance pop,79%,57%,0,44%,18%,99,156
Easier - Seeb Remix,5 Seconds of Summer,71,12/07/2019,pop,dance pop,56%,75%,1,58%,72%,97,165
Sixteen,Ellie Goulding,81,12/04/2019,pop,dance pop,67%,80%,1,14%,54%,109,201
Never Really Over,Katy Perry,85,31/05/2019,pop,dance pop,77%,88%,1,60%,39%,99,223
All You Need To Know (feat. Calle Lehmann),Gryffin,76,27/03/2019,pop,dance pop,51%,79%,1,36%,23%,139,238
I Miss Myself (with HRVY),NOTD,71,3/05/2019,pop,dance pop,72%,86%,1,21%,66%,96,191
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,4/10/2019,pop,dance pop,79%,86%,1,40%,49%,110,173
Takeaway (feat. Lennon Stella),The Chainsmokers,67,24/07/2019,pop,dance pop,29%,51%,1,4%,36%,85,209
All the Time,Zara Larsson,74,21/06/2019,pop,dance pop,67%,80%,0,62%,50%,101,228
What I Like About You (feat. Theresa Rex),Jonas Blue,81,22/03/2019,pop,dance pop,46%,80%,1,5%,55%,10,220
With You,Kaskade,71,14/06/2019,pop,dance pop,36%,92%,0,49%,53%,172,180
Body Back (feat. Maia Wright),Gryffin,75,18/10/2019,pop,dance pop,69%,83%,1,37%,49%,123,214
Not Ok,Kygo,73,23/05/2019,pop,dance pop,62%,66%,0,37%,41%,105,210
Ruin My Life,Zara Larsson,79,18/10/2018,pop,dance pop,67%,70%,1,58%,59%,124,190
I Wanna Know (feat. Bea Miller),NOTD,74,16/03/2018,pop,dance pop,66%,73%,1,56%,61%,119,197
Better With You,3LAU,63,1/03/2019,pop,dance pop,57%,75%,1,29%,25%,102,192
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,19/04/2019,pop,dance pop,59%,71%,0,8%,27%,121,215
Polaroid,Jonas Blue,16,9/11/2018,pop,dance pop,65%,90%,0,36%,47%,114,193
Lost In Japan - Remix,Shawn Mendes,75,27/09/2018,pop,dance pop,71%,86%,1,22%,29%,107,201
In Your Arms (with X Ambassadors),ILLENIUM,75,16/08/2019,pop,dance pop,40%,81%,1,50%,11%,148,220
I'm Not Alright,Loud Luxury,55,12/07/2019,pop,dance pop,88%,86%,1,49%,69%,121,185
SOS,Avicii,30,10/04/2019,pop,dance pop,80%,65%,0,72%,38%,100,157
Harder,Jax Jones,62,12/07/2019,pop,dance pop,91%,83%,0,72%,75%,10,159
The Middle,Zedd,84,23/01/2018,pop,dance pop,75%,66%,1,45%,44%,10,184
Wanted,NOTD,70,27/09/2019,pop,dance pop,69%,67%,1,72%,38%,95,160
Crash Into Me,Steve Aoki,37,12/07/2019,pop,dance pop,67%,82%,0,98%,34%,115,226
Need Your Love (with Noah Kahan),Gryffin,70,24/10/2019,pop,dance pop,58%,76%,1,41%,52%,104,205
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,13/05/2019,pop,dance pop,64%,59%,1,32%,44%,144,216
Don't Call Me Up,Mabel,85,18/01/2019,pop,dance pop,67%,88%,1,15%,23%,98,178
Nostalgic,A R I Z O N A,36,18/06/2019,pop,dance pop,69%,54%,1,10%,33%,99,182
Let It Be Me,Steve Aoki,52,6/09/2019,pop,dance pop,66%,76%,1,86%,39%,114,224
Lovers + Strangers,Starley,58,11/10/2019,pop,dance pop,65%,69%,1,76%,65%,110,178
Sad Song (feat. TINI),Alesso,72,14/06/2019,pop,dance pop,73%,69%,1,36%,55%,110,154
Sleepless Nights,ayokay,64,31/08/2018,pop,dance pop,66%,70%,1,35%,45%,13,197
Save Me Tonight,ARTY,63,25/01/2019,pop,dance pop,55%,90%,0,46%,41%,12,170
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,2/03/2017,pop,dance pop,70%,87%,0,29%,73%,12,193
No Sleep (feat. Bonn),Martin Garrix,76,21/02/2019,pop,dance pop,44%,64%,1,33%,33%,128,207
Feel Good (feat. Daya),Gryffin,74,3/03/2017,pop,dance pop,63%,71%,1,34%,48%,138,248
Endless Summer,Cashae,56,12/07/2019,pop,dance pop,63%,72%,1,61%,33%,101,202
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,25/10/2019,pop,dance pop,55%,80%,1,49%,72%,118,186
Think About You,Kygo,71,14/02/2019,pop,dance pop,67%,60%,1,35%,19%,123,208
Party For One,Carly Rae Jepsen,64,17/05/2019,pop,dance pop,70%,63%,1,36%,46%,123,184
Ritual,Tiësto,82,31/05/2019,pop,dance pop,65%,73%,0,55%,77%,114,198
Electricity (with Dua Lipa),Silk City,81,6/09/2018,pop,dance pop,59%,67%,1,47%,51%,118,238
Lie,Shallou,41,25/01/2018,pop,dance pop,66%,43%,0,80%,22%,107,215
I Found You (with Calvin Harris),benny blanco,62,7/12/2018,pop,dance pop,79%,87%,1,44%,36%,12,189
Now That I Found You,Carly Rae Jepsen,5,27/02/2019,pop,dance pop,61%,74%,0,48%,57%,124,200
All Comes Back To You,R3HAB,72,25/10/2019,pop,dance pop,73%,76%,1,88%,52%,12,160
Need U,DVBBS,24,16/08/2019,pop,dance pop,71%,71%,1,100%,47%,114,219
First Love,Lost Kings,58,13/10/2017,pop,dance pop,62%,94%,1,35%,60%,9,207
Something Real,Armin van Buuren,65,12/07/2019,pop,dance pop,58%,81%,1,44%,23%,127,179
TIME,Alesso,64,8/03/2019,pop,dance pop,77%,81%,1,11%,66%,119,166
Something About You (with Rudimental),Elderbrook,53,9/08/2019,pop,dance pop,77%,61%,0,19%,66%,107,203
Home (feat. Bonn),Martin Garrix,72,16/08/2019,pop,dance pop,47%,61%,0,31%,24%,128,239
Simple (STVW Remix),FANNYPACK,39,12/04/2019,pop,dance pop,43%,92%,0,63%,62%,121,147
Sorry,Joel Corry,75,5/04/2019,pop,dance pop,74%,79%,0,56%,85%,125,188
Spicy (with Diplo & Charli XCX),Herve Pagez,60,30/05/2019,pop,dance pop,84%,82%,0,53%,48%,109,157
The Upside (feat. Elle King),Lindsey Stirling,18,2/08/2019,pop,dance pop,51%,86%,1,72%,35%,117,228
Stay,Zedd,79,23/02/2017,pop,dance pop,69%,62%,0,62%,54%,10,210
Million Voices,Armin van Buuren,60,25/10/2019,pop,dance pop,47%,87%,1,53%,19%,126,187
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,28/09/2018,pop,dance pop,84%,80%,0,23%,62%,95,212
Closer (feat. Halsey),The Chainsmokers,85,29/07/2016,pop,dance pop,75%,52%,1,34%,66%,9,244
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,13/10/2014,pop,dance pop,65%,62%,1,45%,48%,115,243
Clarity,Zedd,74,1/01/2012,pop,dance pop,51%,78%,1,7%,18%,128,271
Solo (feat. Demi Lovato),Clean Bandit,80,17/05/2018,pop,dance pop,74%,64%,0,44%,57%,105,222
Scared to Be Lonely,Martin Garrix,81,27/01/2017,pop,dance pop,58%,54%,0,58%,20%,137,220
Friends (with BloodPop®),Justin Bieber,76,17/08/2017,pop,dance pop,74%,73%,1,38%,62%,104,189
RITMO (Bad Boys For Life),The Black Eyed Peas,96,12/10/2019,pop,dance pop,72%,72%,0,66%,67%,104,221
Promises (with Sam Smith),Calvin Harris,84,17/08/2018,pop,dance pop,78%,77%,1,39%,49%,12,213
Turn Me On (feat. Vula),Riton,86,13/09/2019,pop,dance pop,74%,83%,1,40%,52%,124,208
Light,San Holo,68,10/02/2017,pop,dance pop,57%,76%,1,57%,43%,150,239
2U,David Guetta,66,9/06/2017,pop,dance pop,55%,65%,0,59%,56%,144,194
Something Just Like This,The Chainsmokers,83,7/04/2017,pop,dance pop,62%,64%,0,32%,45%,103,247
One Kiss (with Dua Lipa),Calvin Harris,85,6/04/2018,pop,dance pop,79%,86%,0,11%,59%,123,214
Heroes (we could be),Alesso,73,26/05/2015,pop,dance pop,50%,75%,1,62%,36%,125,210
It Ain’t Me (with Selena Gomez),Kygo,69,17/02/2017,pop,dance pop,64%,53%,1,71%,52%,99,220
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,1/01/2012,pop,dance pop,66%,68%,1,39%,25%,12,251
Let Me Love You,DJ Snake,81,5/08/2016,pop,dance pop,65%,72%,1,35%,16%,99,205
Roses,The Chainsmokers,73,16/06/2015,pop,dance pop,71%,80%,1,56%,34%,100,226
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,4/07/1905,pop,dance pop,60%,74%,1,41%,46%,127,217
Latch,Disclosure,19,1/01/2013,pop,dance pop,50%,73%,1,17%,52%,121,255
Flames,David Guetta,57,14/09/2018,pop,dance pop,61%,73%,0,41%,36%,93,195
Sorry,Justin Bieber,81,13/11/2015,pop,dance pop,65%,76%,0,5%,41%,99,200
This Is What You Came For,Calvin Harris,79,29/04/2016,pop,dance pop,63%,93%,0,33%,47%,123,222
Wake Me Up,Avicii,84,1/01/2013,pop,dance pop,53%,78%,1,52%,64%,12,247
In My Mind,Dynoro,84,8/06/2018,pop,dance pop,69%,77%,1,15%,16%,125,184
Titanium (feat. Sia),David Guetta,66,26/08/2011,pop,dance pop,60%,79%,0,10%,30%,126,245
Where Are Ü Now,Skrillex,8,13/11/2015,pop,dance pop,43%,74%,1,6%,19%,13,242
Firework,Katy Perry,64,1/01/2010,pop,dance pop,64%,83%,1,5%,65%,124,227
Mi Gente (feat. Beyoncé),J Balvin,61,28/09/2017,pop,dance pop,76%,72%,0,82%,47%,105,209
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,1/01/2012,pop,dance pop,61%,83%,0,52%,43%,129,213
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,23/09/2016,pop,dance pop,67%,83%,1,68%,70%,113,237
Anything Could Happen,Ellie Goulding,57,1/01/2012,pop,dance pop,70%,78%,1,3%,38%,102,286
Poker Face,Lady Gaga,69,1/01/2008,pop,dance pop,85%,81%,1,79%,78%,119,237
How Deep Is Your Love,Calvin Harris,77,17/07/2015,pop,dance pop,74%,87%,0,73%,34%,122,212
In Your Eyes (feat. Alida),Robin Schulz,74,10/01/2020,pop,dance pop,57%,67%,0,72%,45%,120,208
Wish You Well (with Sigala),Sigala,5,27/09/2019,pop,dance pop,67%,89%,0,58%,57%,124,206
With You - LöKii Remix,Kaskade,57,12/09/2019,pop,dance pop,71%,73%,1,39%,51%,120,231
Dive,Hot Shade,68,20/12/2019,pop,dance pop,65%,79%,1,50%,41%,123,164
No Goodbye,Paul Kalkbrenner,65,26/07/2019,pop,dance pop,95%,58%,0,4%,63%,124,168
Work,MOTi,58,25/01/2019,pop,dance pop,70%,93%,1,40%,63%,126,155
Instagram,Dimitri Vegas & Like Mike,81,5/07/2019,pop,dance pop,77%,91%,0,97%,95%,96,184
Better Off Without You (feat. Shift K3Y),Becky Hill,68,10/01/2020,pop,dance pop,68%,86%,1,40%,30%,124,198
Butterfly,Molella,43,21/06/2019,pop,dance pop,63%,66%,0,35%,60%,124,159
All The Love You Got,MOTi,57,20/12/2019,pop,dance pop,76%,74%,1,78%,25%,126,165
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,19/07/2019,pop,dance pop,58%,84%,1,41%,28%,115,183
Love Is Not Enough,GATTÜSO,58,19/12/2019,pop,dance pop,63%,82%,1,35%,13%,12,202
Lose Control,MEDUZA,91,11/10/2019,pop,dance pop,60%,53%,0,42%,53%,123,168
I Wanna Dance,Jonas Blue,67,19/07/2019,pop,dance pop,83%,84%,1,14%,62%,126,184
After The Landslide - Club Remix,Matt Simons,42,19/09/2019,pop,dance pop,63%,73%,1,35%,46%,119,240
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,29/08/2019,pop,dance pop,80%,90%,1,69%,33%,125,198
Pon de Replay,Ed Marquis,64,28/04/2017,pop,dance pop,53%,72%,0,24%,48%,10,257
So Close,NOTD,79,2/11/2018,pop,dance pop,70%,87%,1,67%,76%,12,190
Look Into My Eyes,Brando,48,10/01/2020,pop,dance pop,79%,54%,1,5%,43%,115,154
Not in Control,Glaceo,53,20/12/2019,pop,dance pop,90%,63%,1,96%,49%,121,179
BLUE,Tiësto,75,13/12/2019,pop,dance pop,74%,73%,1,30%,90%,118,167
Don't Waste My Time,Kharfi,46,8/11/2019,pop,dance pop,77%,69%,0,21%,59%,118,154
Beat Of My Heart,Lost Frequencies,67,4/10/2019,pop,dance pop,71%,52%,1,3%,30%,111,183
Don't Start Now - Kungs Remix,Dua Lipa,65,18/12/2019,pop,dance pop,66%,70%,0,27%,25%,122,216
Drunken Truth,Steve Void,56,20/12/2019,pop,dance pop,78%,75%,0,37%,50%,110,158
Jacques,Jax Jones,42,28/08/2019,pop,dance pop,79%,55%,0,75%,48%,120,203
Something Real,Armin van Buuren,58,25/10/2019,pop,dance pop,58%,81%,1,44%,23%,127,179
Stay (Don't Go Away) [feat. Raye],David Guetta,74,9/05/2019,pop,dance pop,67%,80%,0,62%,55%,119,185
Solid Gold,PNAU,65,2/05/2019,pop,dance pop,57%,95%,0,54%,30%,104,208
One Life,Mike Perry,64,27/09/2019,pop,dance pop,65%,76%,1,56%,23%,128,204
All ‘Bout The Money,FAULHABER,51,18/10/2019,pop,dance pop,72%,78%,0,61%,33%,110,169
Never Letting Go,Audien,63,9/11/2018,pop,dance pop,53%,77%,1,34%,12%,127,172
Used To Love (with Dean Lewis),Martin Garrix,83,31/10/2019,pop,dance pop,65%,69%,1,38%,39%,11,236
Giulia,Prince Paris,55,29/11/2019,pop,dance pop,68%,92%,1,36%,37%,130,153
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,18/10/2019,pop,dance pop,66%,83%,1,79%,61%,115,167
Dreams Of You (feat. Rae Morris),Icarus,48,4/10/2019,pop,dance pop,57%,97%,0,35%,15%,123,291
I Will Let You Down (feat. KLARA),Madison Mars,59,6/12/2019,pop,dance pop,61%,92%,0,68%,42%,126,182
Carillon (with Achille Lauro),Nahaze,64,11/12/2019,pop,dance pop,56%,56%,0,15%,24%,151,242
La Vie - Gabry Ponte Mix,DJ Ross,42,15/11/2019,pop,dance pop,59%,88%,0,22%,48%,127,177
Lullaby,R3HAB,70,26/01/2018,pop,dance pop,63%,80%,0,4%,26%,127,160
Say It,Phantoms,57,19/07/2019,pop,dance pop,75%,80%,0,36%,31%,122,204
All This Time,Deorro,21,12/07/2019,pop,dance pop,66%,86%,1,32%,23%,130,225
All You Need To Know (feat. Calle Lehmann),Gryffin,68,24/10/2019,pop,dance pop,53%,73%,1,38%,22%,139,238
Acordeão,Tiësto,63,8/08/2019,pop,dance pop,55%,89%,1,15%,78%,125,131
My Friend,Yves V,54,31/05/2019,pop,dance pop,47%,91%,0,59%,20%,126,170
On & On,Alok,79,22/11/2019,pop,dance pop,75%,78%,0,72%,67%,12,147
Juliet & Romeo,Martin Solveig,72,6/12/2019,pop,dance pop,71%,66%,1,35%,78%,122,204
All Around The World (La La La),R3HAB,80,5/04/2019,pop,dance pop,73%,86%,0,3%,52%,124,147
Are You Lonely (feat. ISÁK),Steve Aoki,47,22/02/2019,pop,dance pop,52%,79%,0,37%,18%,9,157
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,1/03/2019,pop,dance pop,68%,67%,1,37%,41%,125,200
Close Your Eyes,Felix Jaehn,79,22/11/2019,pop,dance pop,82%,82%,0,20%,52%,128,160
Buzzing (with Nevve),Audien,59,8/11/2019,pop,dance pop,64%,59%,0,34%,31%,128,225
Never Be Alone (feat. Aloe Blacc),David Guetta,68,26/07/2019,pop,dance pop,54%,91%,0,35%,73%,126,178
Roses - Imanbek Remix,SAINt JHN,72,13/09/2019,pop,dance pop,78%,72%,1,51%,90%,121,176
Insane,Ofenbach,66,15/11/2019,pop,dance pop,81%,76%,0,10%,71%,125,142
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,3/01/2020,pop,dance pop,67%,79%,1,40%,16%,121,220
Only Want You - Sam Feldt Remix,Rita Ora,64,5/04/2019,pop,dance pop,58%,79%,1,13%,35%,105,179
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,1/02/2019,pop,dance pop,73%,84%,0,34%,47%,126,223
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,2/05/2019,pop,dance pop,63%,73%,1,98%,50%,122,196
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,27/09/2019,pop,dance pop,85%,77%,0,66%,78%,114,195
Not Ok - Frank Walker Remix,Kygo,66,5/07/2019,pop,dance pop,68%,87%,1,57%,44%,121,183
Heaven (feat. Veronica),Dzeko,68,4/01/2019,pop,dance pop,66%,88%,0,46%,18%,127,195
Sixteen - Don Diablo Remix,Ellie Goulding,66,10/05/2019,pop,dance pop,49%,77%,0,16%,30%,123,193
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,10/05/2019,pop,dance pop,69%,71%,1,46%,27%,115,127
Brave,Don Diablo,68,26/04/2019,pop,dance pop,65%,87%,1,54%,54%,11,184
Let It Be Me,Steve Aoki,23,6/09/2019,pop,dance pop,66%,76%,1,86%,39%,114,224
Carry On - Nicky Romero Remix,Kygo,67,30/05/2019,pop,dance pop,45%,68%,0,9%,44%,125,175
Magnets (feat. Sophie Simmons),Sam Feldt,62,10/05/2019,pop,dance pop,73%,80%,1,62%,43%,121,179
Don't Give Up On Me,Andy Grammer,9,12/04/2019,pop,dance pop,49%,77%,1,85%,12%,121,190
Found Love (feat. Lovespeake),MOTi,59,15/02/2019,pop,dance pop,60%,89%,1,13%,64%,126,157
These Are The Times (feat. JRM),Martin Garrix,71,18/07/2019,pop,dance pop,69%,71%,1,33%,61%,127,188
Wherever You Go,Jonas Blue,21,9/11/2018,pop,dance pop,71%,72%,1,11%,48%,104,208
Happy Now,Kygo,81,26/10/2018,pop,dance pop,69%,58%,1,80%,49%,117,211
Roots,Valerie Broussard,69,16/08/2019,pop,dance pop,68%,79%,1,4%,58%,122,184
Talk - Alle Farben Remix,Khalid,56,4/04/2019,pop,dance pop,64%,82%,0,5%,49%,126,167
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,19/07/2019,pop,dance pop,71%,81%,1,18%,63%,119,163
High Hopes - Don Diablo Remix,Panic! At The Disco,60,11/01/2019,pop,dance pop,59%,89%,1,77%,29%,126,185
Summer Air (feat. Trevor Guthrie),Hardwell,40,31/05/2019,pop,dance pop,63%,57%,1,5%,56%,125,201
